X,Y,OBJECTID,CFNAME,CFTYPE,CFSUBTYPE,ADDRESS,GNISCODE,COMMENT,Jurisdiction,Community
1194407.76425,1755281.5055,1,Strassburg Elementary School,School,PubElem,2002 E 223rd St,419204,,SCHOOL DIST #168      ,Sauk Village
1196986.90375,1757237.243,2,Saint Mark's Lutheran School,School,PrivSchool,22012 Torrence Ave,2035677,,ST MARK EV LUTH CH    ,Sauk Village
1193313.0365,1760242.2645,5,Wagoner Elementary,School,PubElem,1825 E 215th Pl,426949,,SCHOOL DIST #168      ,Sauk Village
1203569.64775,1805050.041,6,Woodrow Wilson Elementary School,School,PubElem,560 Wentworth Ave,421308,,SCHOOL DIST #155      ,Calumet City
1203897.16625,1785472.3205,7,Saint Johns Lutheran School,School,PrivSchool,18100 Wentworth Ave,417417,,ST JOHN EVAN LUTH CH  ,Lansing
1202435.40875,1791944.52525,8,Reavis Elementary School,School,PubElem,17121 Roy St,416439,,SCHOOL DIST #158      ,Lansing
1200956.60975,1778063.025,9,Sunnybrook School,School,PubSchool,19266 Burnham Ave,,,SCHOOL DIST 171       ,Lansing
1200956.60975,1778063.025,10,Heritage Middle School,School,PubElem,19266 Burnham Ave,423739,,SCHOOL DIST 171       ,Lansing
1202349.5745,1779356.71625,11,Nathan Hale Elementary School,School,PubElem,19055 Burnham Ave,414295,,SCHOOL DIST 171       ,Lansing
1198756.0175,1777099.97825,12,Luther East High School,School,PrivHigh,2750 Glenwood-Lansing Rd,426990,,LUTHER E.SCH DIST ASSO,Lansing
1172366.72225,1770417.00225,13,Greenbriar Elementary School,School,PubElem,101 W Greenbriar Ave,409415,,SCHOOL DIST #170      ,Chicago Heights
1197340.75675,1756831.3735,14,Rickover Junior High School,School,PubElem,22151 Torrence Ave,423559,,SCHOOL DIST #168      ,Sauk Village
1175897.95,1774228.3555,15,Saint Kieran Catholic School,School,PrivSchool,724 W 195th St,417498,,CATHOLIC BISHOP CHGO  ,Chicago Heights
1167981.21775,1760446.5285,16,Beacon Hill Primary Center,School,PubSchool,401 Concord Dr N,422297,,SCHOOL DIST #163      ,Chicago Heights
1177701.645,1803740.777,17,Echo School,School,PubSchool,350 W 154th St,426798,,ECHO JOINT AGREEMENT  ,South Holland
1188792.86775,1799017.27925,18,Seton Academy,School,PrivSchool,16160 Seton Dr,428377,,CATHOLIC BISHOP CHGO  ,South Holland
1183070.7715,1796559.61375,19,Laren Montessori School,School,PrivSchool,425 E 164th St,423733,,LAREN MONTESSORI SCHL ,South Holland
1168355.41775,1798845.216,20,Maya Angelou Elementary School,School,PubElem,15700 Page Ave,407994,,SCHOOL DIST #152      ,Harvey
1171891.02025,1788453.26825,21,Lincoln School,School,PubSchool,1223 W 173rd St,412181,,SCHOOL DIST #152 1/2  ,East Hazel Crest
1172777.13775,1805499.055,22,Bryant Elementary School,School,PubElem,14735 Broadway Ave,405076,,SCHOOL DIST #152      ,Harvey
1165348.0225,1802099.6955,23,Outreach Exceptional Learning Academy,School,PrivSchool,15251 Dixie Hwy,,,OUTREACH COGIC        ,Harvey
1167331.3305,1802145.422,24,Washington Elementary School,School,PubElem,15227 Winchester Ave,420612,,SCHOOL DIST #147      ,Harvey
1182879.30325,1807773.8125,25,Franklin Elementary School,School,PubElem,14701 Chicago Rd,408699,,SCHOOL DIST #148      ,Dolton
1181128.547,1810668.542,26,Harriet Tubman School,School,PubSchool,343 E 142nd St,410978,,SCHOOL DIST #148      ,Dolton
1177766.476,1807853.19825,27,Roosevelt Junior High School,School,PubElem,111 W 146th St,426923,,SCHOOL DIST #148      ,Dolton
1177766.476,1807853.19825,28,Roosevelt Elementary School,School,PubElem,111 W 146th St,426923,,SCHOOL DIST #148      ,Dolton
1189451.4415,1810875.557,29,Trinity International University,School,HigherEd,14256 Dante Ave,,Feature name was found on google streetview,CHURCH OF GOD         ,Dolton
1169559.22725,1766133.73825,30,Saint Paul's Lutheran School,School,PrivSchool,330 W Highland Dr,417734,,ST PAUL LUTH CHURCH   ,Chicago Heights
1171446.6605,1766937.4065,31,Highland School,School,PubSchool,840 Birch Ln,410240,,SCHOOL DIST #170      ,Chicago Heights
1167714.6505,1765422.793,32,Division Street Junior High School,School,PubElem,1013 Division St,407244,,SCHOOL DIST #170      ,Chicago Heights
1167714.6505,1765422.793,33,Speed Independence Elementary School,School,PubElem,1013 Division St,,,SCHOOL DIST #170      ,Chicago Heights
1167714.6505,1765422.793,34,Speed Independence High School,School,PubHigh,1013 Division St,,,SCHOOL DIST #170      ,Chicago Heights
1167714.6505,1765422.793,35,Kennedy Elementary School,School,PubElem,1013 Division St,426800,,SCHOOL DIST #170      ,Chicago Heights
1172180.516,1777603.577,36,Winston Churchill School,School,PubSchool,1300 W 190th St,426801,,SCHOOL DIST #153      ,Homewood
1144122.15975,1769881.15275,37,Woodgate Elementary School,School,PubElem,101 Central Ave,1737300,,SCHOOL DIST #159      ,Matteson
1139830.94525,1768829.05375,38,Marya Yates Elementary School,School,PubElem,6131 Allemong Dr,1737302,,SCHOOL DIST #159      ,Matteson
1146800.12075,1766264.0965,40,Colin Powell Middle School,School,PubElem,20600 Matteson Ave,,,,Matteson
1174402.3565,1753161.6405,41,Saukview Elementary School,School,PubElem,3341 Miller Ave,422301,,SCHOOL DIST #194      ,South Chicago Heights
1165762.5745,1753222.2055,43,South Suburban SDA Christian School,School,PrivSchool,115 Chestnut St,,,LAKE REG CONF 7TH DAY ,Park Forest
1148917.47675,1784640.2595,44,Meadowview Elementary,School,PubElem,4701 W 179th St,426802,,SCHOOL DIST 160       ,Country Club Hills
1155572.59775,1791520.295,45,Nob Hill Elementary School,School,PubElem,3701 W 168th St,426750,,SCHOOL DIST #144      ,Country Club Hills
1151930.4035,1781268.1485,46,Saint John's Lutheran School,School,PrivSchool,4231 W 183rd St,417416,,ST JOHNS EV LUTH CH   ,Country Club Hills
1157126.4425,1790179.9125,47,Highlands Elementary School,School,PubElem,3420 Laurel Ln,409972,,SCHOOL DIST #144      ,Hazel Crest
1157182.81375,1786814.70575,48,Junior Achievers Christian Academy,School,PrivSchool,3451 W 175th St,,,FULL GOSPEL CHRTN ASMM,Hazel Crest
1156789.902,1784164.5675,49,Chateaux Elementary School,School,PubElem,3600 Chambord Ln,426741,Chateaux Park is part of the school,SCHOOL DIST #144      ,Hazel Crest
1173326.903,1782561.5475,50,Millennium School,School,PubSchool,18220 Morgan Ave,,,SCHOOL DIST #153      ,Homewood
1173326.903,1782561.5475,51,James Hart School,School,PubSchool,18220 Morgan Ave,409875,,SCHOOL DIST #153      ,Homewood
1180760.3285,1786804.90225,53,Wolcott School,School,PubSchool,200 N Wolcott St,423735,,SCHOOL DIST #154      ,Thornton
1156047.2335,1769410.189,54,Rich Central High School,School,PubHigh,3600 W 203rd St,426650,,TR OF SCH DIST #227   ,Olympia Fields
1157350.73625,1766576.96,55,Arcadia Elementary School,School,PubElem,20519 Arcadian Dr,403590,,SCHOOL DIST #162      ,Olympia Fields
1155907.457,1768073.097,56,Tolentine College,School,HigherEd,20300 Governors Hwy,419761,,PROVINCE MOTHER GOOD,Olympia Fields
1159015.8215,1755877.243,58,Forest Trail Middle School,School,PubElem,215 Wilson St,1719175,,SCHOOL DIST #163      ,Park Forest
1163039.16675,1753689.798,59,Saint Irenaeus School,School,PrivSchool,78 Cherry St,417321,,CATHOLIC BISHOP CHGO  ,Park Forest
1162544.9605,1752965.678,60,21st Century Primafry Center,School,PubSchool,240 S Orchard Dr,418031,Location was previously Sauk Trail School.  No further information pertaining to whereabouts of Sauk Trail School.,SCHOOL DIST #163      ,Park Forest
1158692.499,1753122.67825,61,Mohawk Elementary School,School,PubElem,301 Mohawk St,413705,,SCHOOL DIST #163      ,Park Forest
1158692.499,1753122.67825,62,Mohawk Intermediate School,School,PubSchool,301 Mohawk St,,,SCHOOL DIST #163      ,Park Forest
1158287.01475,1750750.22125,63,Childs World Montessori Center,School,PrivSchool,266 Somonauk St,,,GRACE UNITED PROT CH  ,Park Forest
1159853.957,1761532.60175,64,Indiana Elementary School,School,PubElem,165 Indiana St,410885,,SCHOOL DIST #162      ,Park Forest
1161632.79725,1750685.80775,65,Blackhawk Elementary School,School,PubElem,130 Blackhawk Dr,404521,,SCHOOL DIST #163      ,Park Forest
1161632.79725,1750685.80775,66,Blackhawk Intermediate Center,School,PubSchool,130 Blackhawk Dr,,,SCHOOL DIST #163      ,Park Forest
1161596.485,1750961.96425,67,Park Forest Academy,School,PrivSchool,375 Oswego St,,,O L L EDUCATION SV    ,Park Forest
1147538.82,1753095.82925,68,Neil Armstrong Elementary School,School,PubElem,5030 Imperial Dr,422306,,SCHOOL DIST #161      ,Richton Park
1155315.08825,1752437.7265,69,Richton Square Elementary School,School,PubElem,22700 Richton Square Rd,,,ILL ASSN 7TH DAY ADVNT,Richton Park
1150110.28625,1754960.124,71,Southland College Preparatory Charter School Incorporated,School,PrivHigh,4601 Sauk Trl,,,,Richton Park
1153033.76225,1755091.105,72,Marion H Blakely Christian Academy,School,PrivSchool,4143 Sauk Trl,,Multiple addresses exist for this parcel. ,,Richton Park
1200792.19875,1813010.083,73,Burnham Elementary School,School,PubElem,13945 Greenbay Ave,1825934,,SCHOOL DIST #154 1/2  ,Burnham
1175875.212,1795638.2775,74,Taft School,School,PubSchool,16225 Union Ave,426784,,SCHOOL DIST #151      ,Harvey
1182888.03925,1802772.80975,75,Chicago Metropolitan Educational Center For Community Advancement,School,PrivSchool,15455 South Park Ave,,,,South Holland
1167413.68975,1800899.49425,77,Youthwatch Ed Services,School,PrivSchool,15416 Lincoln Ave,,,,Harvey
1182891.457,1802370.18925,80,Paragon Monument One Private Christian School,School,PrivSchool,15525 South Park Ave,,,,South Holland
1155627.4745,1778773.4555,82,Flossmoor Hills Elementary School,School,PubElem,3721 Beech St,426729,,SCHOOL DIST #161      ,Flossmoor
1162425.4835,1776789.234,83,Martsci Montessori School,School,PrivSchool,1038 Leavitt Ave,,,MARTSCI SCHOOL        ,Flossmoor
1172815.3255,1773075.3745,84,Normandy Villa School,School,PubSchool,41 E Elmwood Dr,426763,,,Chicago Heights
1132426.62825,1829637.812,85,Worth Junior High School,School,PubElem,11151 New England Ave,1837287,,SCHOOL DISTRICT #127  ,Worth
1135998.956,1851779.0325,86,Harry E Fry Elementary School,School,PubElem,7805 S Mobile Ave,408783,,BD OF ED DIST #111    ,Burbank
1140231.93925,1853141.12275,87,Jacqueline B Kennedy Elementary School,School,PubElem,7650 S Central Ave,1830830,,BD OF ED DIST #111    ,Burbank
1140940.77325,1853749.51875,88,Saint Lawrence High School,School,PrivHigh,5500 W 77th St,417501,,ST LAURENCE H S       ,Burbank
1141383.3015,1853406.1475,89,Queen of Peace High School,School,PrivHigh,7659 S Linder Ave,416306,,QUEEN OF PEACE HS CORP,Burbank
1143605.6865,1852598.761,90,Owen Elementary Scholastic Academy,School,PubElem,7745 S Leamington Ave,415276,,BURBANK CITY OF       ,Burbank
1144868.854,1849278.18,91,Richard E Byrd Elementary School,School,PubElem,8259 S Lavergne Ave,405317,,BD OF ED DIST #111    ,Burbank
