year,rcdts,school_name,district_name,county,school_type,low_income_pct
2018,070162170160001,Argo Community High School,Argo CHSD 217,Cook,HIGH SCHOOL,65.4
2018,070162060170001,Bloom High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL,85.9
2018,070162060170002,Bloom Trail High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL,77.4
2018,070162280160001,Bremen High School,Bremen CHSD 228,Cook,HIGH SCHOOL,33.0
2018,070162280160003,Hillcrest High School,Bremen CHSD 228,Cook,HIGH SCHOOL,48.4
2018,070162280160004,Oak Forest High School,Bremen CHSD 228,Cook,HIGH SCHOOL,27.8
2018,070162280160002,Tinley Park High School,Bremen CHSD 228,Cook,HIGH SCHOOL,25.9
2018,070162180160007,A B Shepard High Sch (Campus),CHSD 218,Cook,HIGH SCHOOL,58.1
2018,070162180160001,DD Eisenhower High Sch (Campus),CHSD 218,Cook,HIGH SCHOOL,86.4
2018,070162180160004,H L Richards High Sch(Campus),CHSD 218,Cook,HIGH SCHOOL,59.5
2018,150162990250848,Air Force Acad High School,City of Chicago SD 299,Cook,HIGH SCHOOL,87.4
2018,150162990250849,Alcott Humanities High School,City of Chicago SD 299,Cook,HIGH SCHOOL,84.9
2018,150162990250001,Amundsen High School,City of Chicago SD 299,Cook,HIGH SCHOOL,83.4
2018,150162990250844,Austin College and Career Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL,99.1
2018,150162990250014,Back of The Yards IB HS,City of Chicago SD 299,Cook,HIGH SCHOOL,95.7
2018,150162990250003,Bogan High School,City of Chicago SD 299,Cook,HIGH SCHOOL,92.4
2018,150162990250824,Bowen High School,City of Chicago SD 299,Cook,HIGH SCHOOL,93.5
2018,150162990250834,Bronzeville Scholastic HS,City of Chicago SD 299,Cook,HIGH SCHOOL,95.3
2018,150162990250788,Brooks College Prep Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,71.8
2018,150162990250006,Carver Military Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,93.5
2018,150162990250820,Chicago Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL,83.2
2018,150162990250862,Chicago Excel Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,98.6
2018,150162990250772,Chicago HS for Agricult Sciences,City of Chicago SD 299,Cook,HIGH SCHOOL,40.3
2018,150162990250851,Chicago HS for the Arts,City of Chicago SD 299,Cook,HIGH SCHOOL,44.9
2018,150162990250795,Chicago Military Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,91.9
2018,150162990250850,Chicago Technology Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,92.5
2018,150162990250526,Chicago Vocational Career Acad HS,City of Chicago SD 299,Cook,HIGH SCHOOL,96.1
2018,150162990250827,Clark Acad Prep Magnet High Schl,City of Chicago SD 299,Cook,HIGH SCHOOL,83.4
2018,150162990250545,Clemente Community Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,93.9
2018,150162990250841,Collins Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL,98.9
2018,150162990250543,Corliss High School,City of Chicago SD 299,Cook,HIGH SCHOOL,87.3
2018,150162990250052,Crane Medical Prep HS,City of Chicago SD 299,Cook,HIGH SCHOOL,86.7
2018,150162990250617,Curie Metropolitan High School,City of Chicago SD 299,Cook,HIGH SCHOOL,93.1
2018,150162990250832,Devry Advantage Academy High Schl,City of Chicago SD 299,Cook,HIGH SCHOOL,71.0
2018,150162990250053,Disney II Magnet HS,City of Chicago SD 299,Cook,HIGH SCHOOL,59.6
2018,150162990250831,Douglass Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL,97.0
2018,150162990250531,Dunbar Vocational Career Acad HS,City of Chicago SD 299,Cook,HIGH SCHOOL,99.5
2018,150162990250011,Farragut Career Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,99.5
2018,150162990250012,Fenger Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL,97.5
2018,150162990250013,Foreman High School,City of Chicago SD 299,Cook,HIGH SCHOOL,95.9
2018,150162990250015,Gage Park High School,City of Chicago SD 299,Cook,HIGH SCHOOL,99.4
2018,150162990250861,Goode STEM Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,88.7
2018,150162990250779,Hancock College Preparatory HS,City of Chicago SD 299,Cook,HIGH SCHOOL,86.3
2018,150162990250016,Harlan Community Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,96.6
2018,150162990250017,Harper High School,City of Chicago SD 299,Cook,HIGH SCHOOL,98.5
2018,150162990250019,Hirsch Metropolitan High School,City of Chicago SD 299,Cook,HIGH SCHOOL,99.3
2018,150162990250799,Hope College Prep High School,City of Chicago SD 299,Cook,HIGH SCHOOL,97.9
2018,150162990250020,Hubbard High School,City of Chicago SD 299,Cook,HIGH SCHOOL,96.5
2018,150162990250021,Hyde Park Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL,98.7
2018,150162990250837,Infinity Math Science & Tech HS,City of Chicago SD 299,Cook,HIGH SCHOOL,95.7
2018,150162990250533,Jones College Prep High School,City of Chicago SD 299,Cook,HIGH SCHOOL,39.5
2018,150162990250767,Juarez Community Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL,96.3
2018,150162990250763,Julian High School,City of Chicago SD 299,Cook,HIGH SCHOOL,96.9
2018,150162990250022,Kelly High School,City of Chicago SD 299,Cook,HIGH SCHOOL,96.1
2018,150162990250023,Kelvyn Park High School,City of Chicago SD 299,Cook,HIGH SCHOOL,96.1
2018,150162990250024,Kennedy High School,City of Chicago SD 299,Cook,HIGH SCHOOL,75.0
2018,150162990250025,Kenwood Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL,59.8
2018,150162990250039,King College Prep High School,City of Chicago SD 299,Cook,HIGH SCHOOL,80.1
2018,150162990250026,Lake View High School,City of Chicago SD 299,Cook,HIGH SCHOOL,81.0
2018,150162990250027,Lane Technical High School,City of Chicago SD 299,Cook,HIGH SCHOOL,47.4
2018,150162990250047,Lincoln Park High School,City of Chicago SD 299,Cook,HIGH SCHOOL,55.2
2018,150162990250833,Lindblom Math & Science Acad HS,City of Chicago SD 299,Cook,HIGH SCHOOL,67.3
2018,150162990250616,Manley Career Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL,89.0
2018,150162990250029,Marshall Metropolitan High School,City of Chicago SD 299,Cook,HIGH SCHOOL,97.6
2018,150162990250030,Mather High School,City of Chicago SD 299,Cook,HIGH SCHOOL,88.1
2018,150162990250031,Morgan Park High School,City of Chicago SD 299,Cook,HIGH SCHOOL,88.6
2018,150162990250836,Multicultural Acad of Scholarshp HS,City of Chicago SD 299,Cook,HIGH SCHOOL,99.1
2018,150162990250825,North-Grand High School,City of Chicago SD 299,Cook,HIGH SCHOOL,95.2
