school_id,school_name,district,county,school_type,grades_served
05-016-0150-04-0000,,Palatine CCSD 15,Cook,,
05-016-0150-04-1011,Plum Grove Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,6 - 8
05-016-0150-04-1014,Carl Sandburg Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,6 - 8
05-016-0150-04-1016,Winston Campus Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,6 - 8
05-016-0150-04-1018,Walter R Sundling Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,6 - 8
05-016-0150-04-1020,Thomas Jefferson Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,6 - 8
05-016-0150-04-2001,Jane Addams Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5
05-016-0150-04-2003,Central Road Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5
05-016-0150-04-2004,Marion Jordan Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5
05-016-0150-04-2005,Kimball Hill Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5
05-016-0150-04-2006,Hunting Ridge Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5
05-016-0150-04-2007,Lake Louise Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5
05-016-0150-04-2008,Lincoln Elementary School,Palatine CCSD 15,Cook,Elementary School,K - 5
05-016-0150-04-2009,Stuart R Paddock School,Palatine CCSD 15,Cook,Elementary School,PK - 5
05-016-0150-04-2010,Pleasant Hill Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5
05-016-0150-04-2013,Gray M Sanborn Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5
05-016-0150-04-2015,Virginia Lake Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5
05-016-0150-04-2018,Willow Bend Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5
05-016-0150-04-2019,Winston Campus Elementary,Palatine CCSD 15,Cook,Elementary School,PK - 5
05-016-0150-04-2023,Frank C Whiteley Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5
05-016-0210-04-0000,,Wheeling CCSD 21,Cook,,
05-016-0210-04-1002,Cooper Middle School,Wheeling CCSD 21,Cook,Middle/Junior High School,6 - 8
05-016-0210-04-1006,Oliver W Holmes Middle School,Wheeling CCSD 21,Cook,Middle/Junior High School,6 - 8
05-016-0210-04-1007,Jack London Middle School,Wheeling CCSD 21,Cook,Middle/Junior High School,6 - 8
05-016-0210-04-2003,Eugene Field Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5
05-016-0210-04-2004,Robert Frost Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5
05-016-0210-04-2007,Joyce Kilmer Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5
05-016-0210-04-2009,Henry W Longfellow Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5
05-016-0210-04-2010,Edgar A Poe Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5
05-016-0210-04-2011,J W Riley Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5
05-016-0210-04-2013,Booth Tarkington Elem School,Wheeling CCSD 21,Cook,Elementary School,PK - 5
05-016-0210-04-2014,Mark Twain Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5
05-016-0210-04-2015,Walt Whitman Elem School,Wheeling CCSD 21,Cook,Elementary School,PK - 5
05-016-0230-02-0000,,Prospect Heights SD 23,Cook,,
05-016-0230-02-1002,MacArthur Middle School,Prospect Heights SD 23,Cook,Middle/Junior High School,6 - 8
05-016-0230-02-2001,Dwight D Eisenhower Elem School,Prospect Heights SD 23,Cook,Elementary School,PK - 1
05-016-0230-02-2004,Betsy Ross Elem School,Prospect Heights SD 23,Cook,Elementary School,2 - 3
05-016-0230-02-2005,Anne Sullivan Elem School,Prospect Heights SD 23,Cook,Elementary School,4 - 5
05-016-0250-02-0000,,Arlington Heights SD 25,Cook,,
05-016-0250-02-1014,South Middle School,Arlington Heights SD 25,Cook,Middle/Junior High School,6 - 8
05-016-0250-02-1015,Thomas Middle School,Arlington Heights SD 25,Cook,Middle/Junior High School,6 - 8
05-016-0250-02-2002,Dryden Elem School,Arlington Heights SD 25,Cook,Elementary School,K - 5
05-016-0250-02-2004,Greenbrier Elem School,Arlington Heights SD 25,Cook,Elementary School,PK - 5
05-016-0250-02-2005,Ivy Hill Elem School,Arlington Heights SD 25,Cook,Elementary School,PK - 5
05-016-0250-02-2009,Olive-Mary Stitt School,Arlington Heights SD 25,Cook,Elementary School,K - 5
05-016-0250-02-2011,Patton Elem School,Arlington Heights SD 25,Cook,Elementary School,K - 5
05-016-0250-02-2016,Westgate Elem School,Arlington Heights SD 25,Cook,Elementary School,K - 5
05-016-0250-02-2018,Windsor Elementary School,Arlington Heights SD 25,Cook,Elementary School,K - 5
05-016-0260-02-0000,,River Trails SD 26,Cook,,
05-016-0260-02-1006,River Trails Middle School,River Trails SD 26,Cook,Middle/Junior High School,6 - 8
05-016-0260-02-2001,Euclid Elem School,River Trails SD 26,Cook,Elementary School,PK - 5
05-016-0260-02-2003,Indian Grove Elem School,River Trails SD 26,Cook,Elementary School,1 - 5
