,RCDTS,School Name,District,City,County,District Type,School Type,Grades Served,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - Never EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% Teachers - White,% Teachers - Hispanic or Latino,% Out-of-Field Teachers,% 9th Grade on Track - White,% 9th Grade on Track - Children with Disabilities,% 9th Grade on Track - IEP,% CRDC School Related Arrests,school_id,school_name,district,county,school_type,grades_served,year,y_chronic_abs,y_ela_prof,y_grad_4yr,y_math_prof,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention
0,07-016-2180-16-0007,A B Shepard High Sch (Campus),CHSD 218,Palos Heights,Cook,High School District,High School,9 - 12,53.5,,34.3,24.4,34.2,18.1,16.9,74.2,66.8,1.3,84.2,7.9,4.4,89.8,83.5,82.8,0.0,07-016-2180-16-0007,A B Shepard High Sch (Campus),CHSD 218,Cook,High School,12-Sep,2024,32.8,23.0,83.1,19.5,505.0,90.5,3.0,1843.0,7.3,1.4,23.2,11.0,31.1,0.7,14.9,60.6,41.5,12.8,66.7,94.9
1,15-016-2990-25-074C,ASPIRA Charter - Early College Prep HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,53.2,46.8,,,95.7,14.4,14.4,17.6,92.1,3.6,33.3,38.1,,,100.0,100.0,0.0,15-016-2990-25-074C,ASPIRA Charter - Early College Prep HS,Chicago Public Schools District 299,Cook,High School,12-Sep,2024,57.6,,89.1,,88.0,84.2,,255.0,26.0,,,60.0,95.3,12.9,18.0,89.8,,0.6,74.6,0.0
2,15-016-2990-25-085C,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,56.3,43.7,,,97.3,17.6,17.6,16.5,89.6,2.9,62.4,31.6,,,92.1,92.1,0.0,15-016-2990-25-085C,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Chicago Public Schools District 299,Cook,High School,12-Sep,2024,49.0,7.3,88.8,,195.0,85.5,2.7,615.0,13.6,,,43.6,97.1,,17.6,89.1,2.0,1.7,100.0,84.4
3,15-016-2990-25-086C,Acero Chtr Sch Network Victoria Soto Campus,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,51.4,48.6,,,99.6,16.5,16.5,15.0,98.7,4.2,65.1,27.6,,,95.0,95.0,0.0,15-016-2990-25-086C,Acero Chtr Sch Network Victoria Soto Campus,Chicago Public Schools District 299,Cook,High School,12-Sep,2024,56.5,,91.0,,0.0,83.0,1.9,564.0,6.2,,,51.6,99.1,2.8,16.8,95.0,,1.4,99.5,88.6
4,15-016-2990-25-049C,Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,K - 12,53.5,46.5,2.5,50.9,42.1,18.8,18.5,49.5,89.8,7.2,66.4,21.0,,,,,0.0,15-016-2990-25-049C,Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,Chicago Public Schools District 299,Cook,High School,K - 12,2024,33.6,14.5,86.7,5.3,18.0,90.6,,501.0,18.2,,48.7,43.3,44.5,2.8,17.4,93.0,2.8,1.5,100.0,84.6
5,15-016-2990-25-0848,Air Force Acad High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,50.0,50.0,,55.4,40.0,18.5,18.5,60.8,87.7,,31.3,5.7,16.6,,90.9,90.9,0.0,15-016-2990-25-0848,Air Force Acad High School,Chicago Public Schools District 299,Cook,High School,12-Sep,2024,52.0,,86.5,,40.0,84.5,,116.0,22.6,,58.6,25.9,36.2,,19.8,84.5,,4.0,49.3,95.5
6,15-016-2990-25-0849,Alcott College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,63.0,37.0,13.9,15.0,66.9,36.2,35.9,48.2,73.8,7.5,71.8,11.9,6.6,,80.6,80.6,0.0,15-016-2990-25-0849,Alcott College Prep,Chicago Public Schools District 299,Cook,High School,12-Sep,2024,56.2,16.8,88.0,14.0,61.0,85.2,,367.0,9.2,,16.3,31.9,64.0,8.2,35.7,76.8,16.3,4.8,57.1,84.9
7,07-016-2300-13-0002,Amos Alonzo Stagg High School,Cons HSD 230,Palos Hills,Cook,High School District,High School,9 - 12,50.0,,54.6,3.9,21.7,11.5,11.5,48.9,29.4,1.4,95.0,3.2,9.2,98.0,94.6,94.6,0.0,07-016-2300-13-0002,Amos Alonzo Stagg High School,Cons HSD 230,Cook,High School,12-Sep,2024,25.3,31.4,93.1,28.6,844.0,91.8,1.6,2526.0,6.3,3.8,3.8,14.1,17.8,1.1,11.4,35.9,72.9,10.7,75.4,95.3
8,15-016-2990-25-0001,Amundsen High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,54.1,45.9,45.6,6.5,37.0,26.3,16.0,69.2,35.1,,72.2,11.9,12.1,91.8,81.8,80.4,0.0,15-016-2990-25-0001,Amundsen High School,Chicago Public Schools District 299,Cook,High School,12-Sep,2024,49.7,38.6,86.8,38.7,10.0,85.4,2.3,1500.0,7.5,6.6,7.1,14.0,39.4,,15.5,38.9,41.7,3.2,60.0,92.3
9,07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Summit,Cook,High School District,High School,9 - 12,50.5,,28.2,11.3,54.1,16.7,11.9,42.4,64.2,1.8,84.6,10.5,0.7,83.6,84.7,86.4,0.0,07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,High School,12-Sep,2024,24.8,16.8,85.3,16.4,724.0,92.3,3.1,1771.0,9.3,2.6,9.5,23.5,54.6,,13.6,67.8,32.4,0.0,55.2,96.0
