RCDTS,Level,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title I Status,State Senate District,State House District,# Student Enrollment,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - Never EL,% Student Enrollment - Low Income,Latitude,Longitude
65-000-0000-80-0000,Statewide,,,,,,,,,,,,,1848560.0,51.4,48.6,44.3,16.3,28.6,4.5,20.3,16.3,74.6,49.7,36.50473,-6.26961
01-009-2620-26-0000,District,,A-C Central CUSD 262,Ashland,Cass,Unit District,,,,,,,,302.0,48.3,51.7,93.7,,,3.3,11.9,11.9,99.0,40.7,39.887831,-90.006086
01-009-2620-26-2001,School,A-C Central Elementary School,A-C Central CUSD 262,Chandlerville,Cass,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Targeted,50.0,99.0,124.0,46.8,53.2,95.2,,,,12.1,12.1,100.0,41.9,42.0374628,-87.8865596
01-009-2620-26-0002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,50.0,99.0,92.0,51.1,48.9,91.3,,,,,,,38.0,39.8952514,-90.0324986
01-009-2620-26-1002,School,A-C Central Middle School,A-C Central CUSD 262,Ashland,Cass,Unit District,Middle/Junior High School,5 - 8,Commendable,All Students,Title 1 Targeted,50.0,99.0,86.0,47.7,52.3,94.2,,,,14.0,14.0,97.7,41.9,39.7128421,-90.4206195
33-048-2760-26-0000,District,,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,,,,,,,,901.0,50.7,49.3,85.1,,5.3,8.4,21.3,20.2,100.0,54.8,40.805289,-90.404372
33-048-2760-26-0001,School,Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,47.0,94.0,270.0,50.4,49.6,84.4,,4.8,9.6,18.9,15.2,100.0,50.0,40.7999,-90.4068
33-048-2760-26-1001,School,Abingdon-Avon Middle Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,47.0,94.0,207.0,56.0,44.0,84.5,,6.8,7.2,22.2,22.2,100.0,50.7,41.791949,-72.86559
33-048-2760-26-2002,School,Avon Elem Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Elementary School,PK - 1,,,Title 1 Schoolwide,47.0,94.0,51.0,39.2,60.8,86.3,,,,27.5,27.5,100.0,49.0,40.6648,-90.4286
33-048-2760-26-2001,School,Hedding Grade Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,Elementary School,PK - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,47.0,94.0,373.0,49.6,50.4,85.8,,5.1,8.0,21.7,21.7,100.0,61.4,40.8057,-90.4029
15-016-9020-25-0000,District,,ACE Amandla Charter School,Chicago,Cook,Unit District,,,,,,,,137.0,56.9,,,50.4,47.4,,27.0,27.0,59.1,94.9,41.883229,-87.632398
15-016-9020-25-201C,School,ACE Amandla Charter School,ACE Amandla Charter School,Chicago,Cook,Unit District,Elementary School,9 - 12,Commendable,All Students,Title 1 Schoolwide,16.0,32.0,137.0,56.9,,,50.4,47.4,,27.0,27.0,59.1,94.9,41.769223,-87.690965
19-022-0040-02-0000,District,,Addison SD 4,Addison,Dupage,Elementary District,,,,,,,,3371.0,51.1,48.9,18.6,2.3,71.9,1.3,22.0,19.2,33.9,71.4,41.9319404,-87.9886761
19-022-0040-02-3002,School,Addison Early Learning Center,Addison Early Learning Center,Addison,Dupage,Elementary District,Special School,PK,,,Title 1 Schoolwide,23.0,45.0,190.0,54.7,45.3,13.7,,75.8,,50.0,50.0,27.9,67.4,41.9148,-87.9806
19-022-0040-02-2011,School,Ardmore Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,45.0,230.0,51.3,48.7,15.7,,78.3,,20.0,17.0,40.0,78.3,41.914685,-87.980071
19-022-0040-02-2002,School,Army Trail Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Targeted,"White, Children with Disabilities",Title 1 Schoolwide,39.0,77.0,251.0,52.2,47.8,14.3,5.2,64.5,,19.9,18.7,25.1,78.9,41.932245,-87.997949
19-022-0040-02-2003,School,Fullerton Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,45.0,373.0,48.0,52.0,19.0,,74.5,,20.1,16.9,38.6,73.2,41.9192,-87.9849
19-022-0040-02-1009,School,Indian Trail Jr High School,Addison SD 4,Addison,Dupage,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,39.0,77.0,1114.0,51.3,48.7,19.5,,71.5,,19.2,15.3,33.0,72.1,41.9319404,-87.9886761
19-022-0040-02-2004,School,Lake Park Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,46.0,288.0,53.1,46.9,3.8,,90.3,,24.0,21.9,19.1,83.7,41.923064,-87.997868
19-022-0040-02-2005,School,Lincoln Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,39.0,77.0,340.0,48.8,51.2,6.8,,89.7,,19.7,17.6,18.8,81.2,41.9402,-87.9961
19-022-0040-02-2010,School,Stone Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,46.0,362.0,49.4,50.6,40.9,,46.1,2.8,18.5,15.7,55.0,47.2,41.93537,-88.02347
19-022-0040-02-2008,School,Wesley Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,46.0,223.0,54.3,45.7,26.5,4.5,58.7,,26.5,24.2,47.1,61.9,41.9353886,-88.0155528
34-049-1250-13-0000,District,,Adlai E Stevenson HSD 125,Lincolnshire,Lake,High School District,,,,,,,,4719.0,51.0,,40.8,1.9,8.6,3.6,16.4,7.2,59.9,7.5,42.195891,-87.906248
34-049-1250-13-0001,School,Adlai E Stevenson High School,Adlai E Stevenson HSD 125,Lincolnshire,Lake,High School District,High School,9 - 12,Commendable,All Students,Title 1 Targeted,30.0,59.0,4719.0,51.0,,40.8,1.9,8.6,3.6,16.4,7.2,59.9,7.5,42.199777,-87.944362
21-028-0910-04-0000,District,,Akin CCSD 91,Akin,Franklin,Elementary District,,,,,,,,124.0,57.3,42.7,,,,,35.5,26.6,100.0,54.8,37.986208,-88.748844
21-028-0910-04-2001,School,Akin Comm Cons Elem School,Akin CCSD 91,Akin,Franklin,Elementary District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,59.0,117.0,124.0,57.3,42.7,,,,,35.5,26.6,100.0,54.8,37.987108,-88.750977
