school_id,school_name,district,county,school_type,grades_served,year,y_chronic_abs,y_ela_prof,y_grad_4yr,y_math_prof,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention,acs_end_year,TRACTID,LAT,LON,x_tract_median_hh_income,x_tract_total_n_hh,x_tract_pov_share_under_1_00,x_tract_urban,x_tract_lilatracts_1and10,x_tract_lilatracts_halfand10,x_tract_lilatracts_1and20,x_tract_lilatracts_vehicle,x_tract_lowincometracts,x_tract_la1and10,x_tract_lahalfand10,x_tract_la1and20,x_tract_transport_length,x_tract_pop20
05-016-2020-17-0001,Evanston Twp High School         ,Evanston Twp HSD 202             ,Cook       ,High School,9 - 12,2016,11.7,37.4,89.4,0.8,,95.3,0.8,1.0,4.9,5.0,30.4,,17.5,5.0,13.3,3.2,43.3,,68.8,92.5,2016.0,17031570200.0,41.8085443,-87.7333591,53690.0,454.0,0.061674009,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49577.716178385,2096.0
05-016-2020-17-0001,Evanston Twp High School         ,Evanston Twp HSD 202             ,Cook       ,High School,9 - 12,2017,12.6,58.2,93.2,54.7,,94.9,0.6,1.0,7.4,5.6,29.4,,18.0,5.0,13.1,3.4,44.1,,55.5,90.7,2017.0,17031570200.0,41.8085443,-87.7333591,49107.0,472.0,0.125,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49577.716178385,2096.0
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,9 - 12,2018,12.9,55.6,92.3,51.6,,97.2,0.7,3459.0,7.8,5.7,27.6,4.6,18.4,4.8,11.6,38.4,45.4,,,91.5,2018.0,17031809600.0,42.046339,-87.700342,90625.0,772.0,0.098445596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319.0
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL, 9 10 11 12,2019,24.3,52.1,92.0,49.4,977.0,91.5,2.6,3514.0,9.3,5.6,27.3,5.2,18.4,4.1,11.7,36.5,45.7,241.0,,92.7,2019.0,17031809600.0,42.046339,-87.700342,74233.0,759.0,0.1014492753623188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319.0
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL, 9 10 11 12,2020,21.1,,93.1,,1017.0,93.0,2.0,3597.0,7.4,5.8,26.0,5.1,18.7,3.1,11.1,34.7,45.8,208.0,,92.7,2020.0,17031809600.0,42.046339,-87.700342,43715.0,708.0,0.064971751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319.0
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL, 9 10 11 12,2021,8.3,52.5,94.1,46.8,1017.0,96.7,1.4,3621.0,5.0,5.6,25.1,5.3,19.4,2.5,11.1,32.5,45.6,208.0,,93.6,2021.0,17031809600.0,42.046339,-87.700342,52031.0,773.0,0.0426908150064683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319.0
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,12-Sep,2022,23.0,48.7,94.2,42.1,,92.6,2.1,3636.0,9.8,5.4,24.8,6.0,19.9,2.1,13.2,31.7,45.1,,,94.6,2022.0,17031809600.0,42.046339,-87.700342,76844.0,805.0,0.028571429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319.0
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,HIGH SCHOOL,12-Sep,2023,21.6,53.1,92.8,43.9,1017.0,92.2,1.4,3579.0,9.2,5.2,23.4,8.0,20.3,2.7,11.3,35.4,45.0,208.0,,95.6,2023.0,17031809600.0,42.046339,-87.700342,71635.0,730.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319.0
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,High School,12-Sep,2024,20.9,53.2,93.2,44.2,1133.0,92.6,2.2,3483.0,11.2,4.5,23.9,10.0,20.2,2.3,10.5,37.0,44.4,3.2,86.4,94.8,2024.0,17031809600.0,42.046339,-87.700342,80461.0,708.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319.0
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,High School,12-Sep,2025,25.4,68.7,93.9,55.1,1133.0,91.8,1.7,3457.0,11.2,4.3,22.9,11.2,20.7,1.9,11.6,34.8,43.9,3.2,64.7,93.1,2024.0,17031809600.0,42.046339,-87.700342,80461.0,708.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445,3319.0
