,School Name,District,District Type,School Type,Grades Served,OBJECTID,NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON
0,A B Shepard High Sch (Campus),CHSD 218,High School District,High School,12-Sep,28198,1.71E+11,1706540,A B Shepard High Sch (Campus),17,13049 S Ridgeland Ave,Palos Heights,IL,60463,17,17031,Cook County,21,41.65514,-87.775649
1,ASPIRA Charter - Early College Prep HS,Chicago Public Schools District 299,Unit District,High School,12-Sep,29004,1.71E+11,1709930,ASPIRA Charter - Early College Prep HS,17,3986 W Barry Ave,Chicago,IL,60618,17,17031,Cook County,11,41.937702,-87.726775
2,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Chicago Public Schools District 299,Unit District,High School,12-Sep,,,,,,,,,,,,,,41.8085443,-87.7333591
3,Acero Chtr Sch Network Victoria Soto Campus,Chicago Public Schools District 299,Unit District,High School,12-Sep,29014,1.71E+11,1709930,Acero Chtr Sch Network Victoria Soto Campus,17,5025 S St Louis Ave,Chicago,IL,60632,17,17031,Cook County,11,41.802236,-87.710789
4,Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,Chicago Public Schools District 299,Unit District,High School,K - 12,,,,,,,,,,,,,,42.0160989,-87.6871158
5,Air Force Acad High School,Chicago Public Schools District 299,Unit District,High School,12-Sep,28920,1.71E+11,1709930,Air Force Acad High School,17,3630 S Wells St,Chicago,IL,60609,17,17031,Cook County,11,41.827898,-87.632962
6,Alcott College Prep,Chicago Public Schools District 299,Unit District,High School,12-Sep,28923,1.71E+11,1709930,Alcott College Prep,17,2957 N Hoyne Ave,Chicago,IL,60618,17,17031,Cook County,11,41.9355,-87.6804
7,Amos Alonzo Stagg High School,Cons HSD 230,High School District,High School,12-Sep,28301,1.71E+11,1708400,Amos Alonzo Stagg High School,17,8015 W 111th St,Palos Hills,IL,60465,17,17031,Cook County,21,41.6879,-87.8186
8,Amundsen High School,Chicago Public Schools District 299,Unit District,High School,12-Sep,28426,1.71E+11,1709930,Amundsen High School,17,5110 N Damen Ave,Chicago,IL,60625,17,17031,Cook County,11,41.9752,-87.6801
9,Argo Community High School,Argo CHSD 217,High School District,High School,12-Sep,27966,1.70E+11,1704020,Argo Community High School,17,7329 W 63rd St,Summit,IL,60501,17,17031,Cook County,21,41.776486,-87.804451
10,Aspira Charter - Business and Finance HS,Chicago Public Schools District 299,Unit District,High School,12-Sep,28984,1.71E+11,1709930,Aspira Charter - Business and Finance HS,17,2989 N Milwaukee Ave,Chicago,IL,60618,17,17031,Cook County,11,41.935954,-87.717962
11,Austin College and Career Academy High School,Chicago Public Schools District 299,Unit District,High School,12-Sep,28915,1.71E+11,1709930,Austin College and Career Academy High School,17,231 N Pine Ave,Chicago,IL,60644,17,17031,Cook County,11,41.885354,-87.762979
12,Back of The Yards IB HS,Chicago Public Schools District 299,Unit District,High School,12-Sep,28954,1.71E+11,1709930,Back of The Yards IB HS,17,2111 W 47th St,Chicago,IL,60609,17,17031,Cook County,11,41.8082,-87.678
13,Bloom High School,Bloom Twp HSD 206,High School District,High School,12-Sep,28171,1.71E+11,1706420,Bloom High School,17,101 W 10th St,Chicago Heights,IL,60411,17,17031,Cook County,21,41.5148,-87.6439
14,Bloom Trail High School,Bloom Twp HSD 206,High School District,High School,12-Sep,28172,1.71E+11,1706420,Bloom Trail High School,17,22331 Cottage Grove Ave,Chicago Heights,IL,60411,17,17031,Cook County,21,41.484484,-87.594632
15,Bogan High School,Chicago Public Schools District 299,Unit District,High School,12-Sep,28452,1.71E+11,1709930,Bogan High School,17,3939 W 79th St,Chicago,IL,60652,17,17031,Cook County,11,41.7486,-87.7206
16,Bowen High School,Chicago Public Schools District 299,Unit District,High School,12-Sep,28864,1.71E+11,1709930,Bowen High School,17,2710 E 89th St,Chicago,IL,60617,17,17031,Cook County,11,41.734303,-87.557463
17,Bremen High School,Bremen CHSD 228,High School District,High School,12-Sep,28219,1.71E+11,1707050,Bremen High School,17,15203 Pulaski Rd,Midlothian,IL,60445,17,17031,Cook County,21,41.615564,-87.715446
18,Bronzeville Scholastic HS,Chicago Public Schools District 299,Unit District,High School,12-Sep,28897,1.71E+11,1709930,Bronzeville Scholastic HS,17,4934 S Wabash Ave,Chicago,IL,60615,17,17031,Cook County,11,41.8044,-87.6251
