school_id,school_name,district,county,school_type,grades_served,year,y_ela_prof,y_math_prof,y_chronic_abs,y_grad_4yr
05-016-0150-04-0000,,Palatine CCSD 15,Cook,,,2025,54.6,42.5,17.1,
05-016-0150-04-1011,Plum Grove Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,8-Jun,2025,74.1,53.9,10.9,
05-016-0150-04-1014,Carl Sandburg Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,8-Jun,2025,52,19.1,20.4,
05-016-0150-04-1016,Winston Campus Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,8-Jun,2025,37,24.8,22.6,
05-016-0150-04-1018,Walter R Sundling Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,8-Jun,2025,36.6,25.8,22.3,
05-016-0150-04-1020,Thomas Jefferson Middle School,Palatine CCSD 15,Cook,Middle/Junior High School,8-Jun,2025,79.5,62,10.7,
05-016-0150-04-2001,Jane Addams Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5,2025,32.6,27.1,21.4,
05-016-0150-04-2003,Central Road Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5,2025,72,61.2,12.9,
05-016-0150-04-2004,Marion Jordan Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5,2025,67.3,68.9,8.4,
05-016-0150-04-2005,Kimball Hill Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5,2025,48.5,33.3,22.9,
05-016-0150-04-2006,Hunting Ridge Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5,2025,62.2,51.7,12.3,
05-016-0150-04-2007,Lake Louise Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5,2025,32.1,23.4,25.2,
05-016-0150-04-2008,Lincoln Elementary School,Palatine CCSD 15,Cook,Elementary School,K - 5,2025,41,34,26.2,
05-016-0150-04-2009,Stuart R Paddock School,Palatine CCSD 15,Cook,Elementary School,PK - 5,2025,62,57.6,11.6,
05-016-0150-04-2010,Pleasant Hill Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5,2025,64.4,70.4,6.8,
05-016-0150-04-2013,Gray M Sanborn Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5,2025,41,35.6,24.7,
05-016-0150-04-2015,Virginia Lake Elem School,Palatine CCSD 15,Cook,Elementary School,PK - 5,2025,42.4,36.7,20.7,
05-016-0150-04-2018,Willow Bend Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5,2025,46.6,36.9,15.4,
05-016-0150-04-2019,Winston Campus Elementary,Palatine CCSD 15,Cook,Elementary School,PK - 5,2025,,,,
05-016-0150-04-2023,Frank C Whiteley Elem School,Palatine CCSD 15,Cook,Elementary School,K - 5,2025,64.9,61.9,8.4,
05-016-0210-04-0000,,Wheeling CCSD 21,Cook,,,2025,39.1,32.9,21.5,
05-016-0210-04-1002,Cooper Middle School,Wheeling CCSD 21,Cook,Middle/Junior High School,8-Jun,2025,54.1,44.2,17,
05-016-0210-04-1006,Oliver W Holmes Middle School,Wheeling CCSD 21,Cook,Middle/Junior High School,8-Jun,2025,26.4,13.8,24.8,
05-016-0210-04-1007,Jack London Middle School,Wheeling CCSD 21,Cook,Middle/Junior High School,8-Jun,2025,44.9,29.7,16.6,
05-016-0210-04-2003,Eugene Field Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5,2025,27.3,21.2,23.8,
05-016-0210-04-2004,Robert Frost Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5,2025,28,29.8,24.8,
05-016-0210-04-2007,Joyce Kilmer Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5,2025,33.3,33.1,26,
05-016-0210-04-2009,Henry W Longfellow Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5,2025,50.6,55.1,17,
05-016-0210-04-2010,Edgar A Poe Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5,2025,37.7,44.1,23.2,
05-016-0210-04-2011,J W Riley Elem School,Wheeling CCSD 21,Cook,Elementary School,K - 5,2025,58.3,51.8,15.3,
05-016-0210-04-2013,Booth Tarkington Elem School,Wheeling CCSD 21,Cook,Elementary School,PK - 5,2025,41.8,46.8,22.7,
